atom_id,Clinical name,Attribute key,Readable label,Required value,Rule,Evidence role
cts_bilateral,Bilateral carpal tunnel syndrome,bilateral_or_recurrent_cts,bilateral or recurrent cts,true,QUALIFY_WT02,SUPPORT
cts_recurrent,Recurrent / revision carpal tunnel syndrome,bilateral_or_recurrent_cts,bilateral or recurrent cts,true,QUALIFY_WT02,SUPPORT
cts_bilateral,Bilateral carpal tunnel syndrome,bilateral_or_recurrent_cts,bilateral or recurrent cts,true,QUALIFY_V13,SUPPORT
cts_recurrent,Recurrent / revision carpal tunnel syndrome,bilateral_or_recurrent_cts,bilateral or recurrent cts,true,QUALIFY_V13,SUPPORT
biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",distal_site,distal site,true,QUALIFY_WT03,SUPPORT
biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",spontaneous,spontaneous,true,QUALIFY_WT03,SUPPORT
biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",distal_site,distal site,true,QUALIFY_WT03,SUPPORT
biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",trivial_trauma,trivial trauma,true,QUALIFY_WT03,SUPPORT
lumbar_decompression,lumbar decompression,documented_stenosis_indication,documented stenosis indication,true,QUALIFY_WT05,SUPPORT
arthroplasty,Hip or knee joint replacement (arthroplasty),hip_or_knee,hip or knee,true,QUALIFY_WT06,SUPPORT
rotator_cuff,Rotator cuff tear / repair,orthopedic_cluster_context,orthopedic cluster context,true,QUALIFY_WT08,SUPPORT
rotator_cuff_repair,rotator cuff repair,orthopedic_cluster_context,orthopedic cluster context,true,QUALIFY_WT08,SUPPORT
shoulder_disorder,shoulder disorder,orthopedic_cluster_context,orthopedic cluster context,true,QUALIFY_WT08,SUPPORT
hf_any,Heart failure (any),otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT09,SUPPORT
hfpef,Heart failure with preserved ejection fraction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT09,SUPPORT
thick_walls,Unexplained left-ventricular wall thickness / LVH,abnormal_wall_or_geometry,abnormal wall or geometry,true,QUALIFY_WT10,SUPPORT
thick_walls,Unexplained left-ventricular wall thickness / LVH,otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT10,SUPPORT
