code,meaning,warehouse_row_count,warehouse_patient_count,candidate_origins,amyloid_tier,amyloid_signal_categories,review_bucket,suggested_atom_ids,suggested_atom_names,suggestion_scores,audit_flags
I68.0,Cerebral amyloid angiopathy,49,8,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 1 — Direct amyloidosis diagnosis,Direct amyloidosis,KNOWN_AMYLOIDOSIS_REVIEW,,,,
H11.011,Amyloid pterygium of right eye,8,2,SUPPLIED_895_LIST,,Direct amyloidosis,KNOWN_AMYLOIDOSIS_REVIEW,,,,
H11.012,Amyloid pterygium of left eye,8,1,SUPPLIED_895_LIST,,Direct amyloidosis,KNOWN_AMYLOIDOSIS_REVIEW,,,,
G56.01,"Carpal tunnel syndrome, right upper limb",8269,1383,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Neurologic / autonomic signals | Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,cts_any | cts_bilateral | cts_left | cts_right,"Bilateral carpal tunnel syndrome | Carpal tunnel syndrome | Carpal tunnel syndrome, left | Carpal tunnel syndrome, right","cts_any:9.0(phrase;same_icd_category;tokens=carpal,tunnel) | cts_right:8.0(phrase;tokens=carpal,limb,right,tunnel,upper) | cts_bilateral:5.0(same_icd_category;tokens=carpal,right,tunnel) | cts_left:3.0(tokens=carpal,limb,tunnel,upper)",
M48.02,"Spinal stenosis, cervical region",11513,1273,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Neurologic / autonomic signals | Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,lumbar_stenosis,Lumbar spinal stenosis,"lumbar_stenosis:4.0(same_icd_category;tokens=spinal,stenosi)",
G56.02,"Carpal tunnel syndrome, left upper limb",4650,817,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Neurologic / autonomic signals | Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,cts_any | cts_bilateral | cts_left | cts_right,"Bilateral carpal tunnel syndrome | Carpal tunnel syndrome | Carpal tunnel syndrome, left | Carpal tunnel syndrome, right","cts_any:9.0(phrase;same_icd_category;tokens=carpal,tunnel) | cts_left:8.0(phrase;tokens=carpal,left,limb,tunnel,upper) | cts_bilateral:5.0(same_icd_category;tokens=carpal,left,tunnel) | cts_right:3.0(tokens=carpal,limb,tunnel,upper)",
M75.121,"Complete rotator cuff tear or rupture of right shoulder, not specified as traumatic",1337,185,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",459,134,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,,,,EXPLICIT_ALTERNATIVE_ETIOLOGY
M75.111,"Incomplete rotator cuff tear or rupture of right shoulder, not specified as traumatic",542,122,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
M75.122,"Complete rotator cuff tear or rupture of left shoulder, not specified as traumatic",506,103,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
