Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),AA subtype distinguisher importance (1-5),Direction for AA,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),AA direction multiplier,Ranking interpretation
AA16,New or progressive persistent proteinuria,Renal,Routine urine lab / diagnosis,Core organ trigger,Yes,5,5,Strongly supports AA in inflammatory context,High,Guideline + cohorts,Often the clinical transition that prompts evaluation,Patient with a credible AA-driving inflammatory/infectious condition,Proteinuric kidney disease is the dominant renal presentation across major AA cohorts and guidelines.,This is the most practically useful shift from 'AA risk' to 'possible organ involvement'.,"AL and other renal amyloid types also cause proteinuria; diabetic, hypertensive, and primary glomerular disease are common alternatives.",Credible inflammatory driver + persistent inflammatory burden + new/progressive proteinuria,"No universal AA screening cutoff. >0.5 g/24 h was used as a kidney-biopsy referral threshold in one FMF study, not validated across all AA-risk populations.",High,Urinalysis; nephrology; chemistry,proteinuria; UPCR; UACR; 24-hour urine protein,Core trigger; use trend and persistence rather than one measurement.,https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/24128782/,100,1,Tier 1 - highest,5,5,5,5,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA21,"Renal phenotype disproportionate to or not fully explained by known diabetes, hypertension, medications, or other kidney disease",Renal,Derived clinical context,Composite discriminator / cluster,Yes,5,5,Strongly supports AA when inflammation is present,Moderate-High,Guideline-informed synthesis,Before amyloid-specific testing,High-risk inflammatory disease with a new renal phenotype,Guidelines emphasize suspicion when new renal manifestations appear in chronic inflammation; no evidence supports excluding patients simply because diabetes or hypertension is also present.,Combining precursor state + inflammatory burden + renal transition is more discriminating than any single feature.,Competing renal causes can coexist with AA; apparent 'explanation' by diabetes/HTN may delay recognition.,"AA-driving condition + persistent inflammation + proteinuria ± hypoalbuminemia ± eGFR decline that is new, rapidly progressive, or disproportionate",Do NOT require 'no diabetes' or 'no hypertension'. Competing causes lower specificity but should not hard-exclude AA.,High,Derived from diagnoses + labs + trend,diabetes; hypertension; CKD etiology; proteinuria trend,"Core composite phenotype. Model competing causes as down-weights/uncertainty, not binary exclusions.",https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/24128782/,98.5,2,Tier 1 - highest,4.5,5,5,5,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA02,Familial Mediterranean fever (FMF) / periodic fever syndrome,Autoinflammatory,Diagnosis / medical history,Background risk,Yes,4,5,Strongly supports AA,High,Guideline + cohort + review,Often long before renal disease,Known FMF; Mediterranean/Middle Eastern ancestry may increase prior probability but is not required,"FMF is a canonical AA precursor. In a 2,246-patient Turkish multicenter cohort, biopsy-proven amyloidosis was present in 8.6%.","Among the four major systemic amyloid types, FMF is unusually informative for AA because sustained innate-inflammatory activity directly drives SAA production.",FMF does not make proteinuria synonymous with AA; non-amyloid kidney disease is common enough to require a renal differential.,FMF + uncontrolled/subclinical inflammation + new persistent albuminuria/proteinuria,No single FMF duration threshold. Surveillance should focus on inflammatory control and renal change.,High,Problem list; rheumatology; genetics,FMF; recurrent fever; serositis; erysipelas-like erythema; periodic fever,Strong background-risk feature; never convert directly to an AA diagnosis.,https://pubmed.ncbi.nlm.nih.gov/24369413/,https://pubmed.ncbi.nlm.nih.gov/40234174/,92,3,Tier 1 - highest,5,5,5,4,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA06,"Other chronic autoinflammatory syndromes (e.g., TRAPS, CAPS, MKD/HIDS)",Autoinflammatory,Diagnosis / medical history,Background risk,Yes,4,5,Strongly supports AA,High,Guideline + causes systematic review,Usually years before organ manifestations,Known monogenic/autoinflammatory disease,Systematic review of AA causes and contemporary reviews identify multiple periodic-fever/autoinflammatory disorders as strong AA-associated diseases.,These conditions create persistent SAA exposure and are much more subtype-oriented toward AA than AL or ATTR.,Rare diseases; coding may be incomplete; renal disease still needs independent evaluation.,Autoinflammatory diagnosis + persistent inflammatory activity + new albuminuria/proteinuria,No universal duration threshold across syndromes.,High,Problem list; rheumatology/genetics,TRAPS; CAPS; MKD; HIDS; autoinflammatory syndrome,Strong background feature; combine with renal transition.,https://pubmed.ncbi.nlm.nih.gov/31766892/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,92,3,Tier 1 - highest,5,5,5,4,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA08,"Chronic/active infection (e.g., tuberculosis, bronchiectasis, osteomyelitis, chronic suppurative disease)",Infectious,Diagnosis / medical history,Background risk,Yes,4,5,Strongly supports AA,High,Guideline + systematic review + biopsy cohort,Can precede renal disease by months to years,Persistent or recurrent infection with sustained inflammatory burden,"AA cause reviews identify chronic infections as major drivers. In a 43-patient PTB renal-AA cohort, illness duration was <5 years in 93% (mean 2.25 years), showing that very long latency is not required.",Prevents a screen from assuming AA only follows decades of rheumatic disease.,Acute/short-lived infection is not equivalent to a chronic amyloidogenic inflammatory state; CKD/proteinuria may have other infectious or drug-related causes.,Persistent infection + inflammatory burden + new proteinuria/edema/renal dysfunction,Do not impose a minimum multi-year duration. The TB cohort is disease-specific and selected; its 2.25-year mean is not a general AA latency rule.,High,Problem list; infectious disease; imaging/history,tuberculosis; bronchiectasis; osteomyelitis; chronic infection; suppuration,Strong risk context when chronicity/recurrence or ongoing inflammatory activity is documented.,https://pubmed.ncbi.nlm.nih.gov/20440393/,https://pubmed.ncbi.nlm.nih.gov/31766892/,92,3,Tier 1 - highest,5,5,5,4,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA17,Nephrotic-range proteinuria / nephrotic syndrome,Renal,Routine lab / diagnosis,Strong organ trigger,Yes,5,4,Supports AA,High,Renal cohort + review,Often at or near diagnosis; may represent later disease,Chronic inflammatory/infectious disease,"Heavy proteinuria and nephrotic syndrome are common in renal AA cohorts; in the FMF biopsy cohort, amyloid kidney disease had much heavier proteinuria than non-amyloid kidney disease.",Strong evidence of a glomerular protein-losing process and highly concerning in the right inflammatory context.,AL is also a major cause of nephrotic amyloid kidney disease; primary glomerular disease remains common.,Nephrotic proteinuria + hypoalbuminemia/edema + chronic inflammatory driver,Use standard nephrotic definitions (commonly ?3–3.5 g/day depending source); this threshold is not AA-specific.,High,Urine labs; diagnosis,nephrotic syndrome; UPCR; 24h urine protein,"Very strong organ trigger, but subtype must remain context-dependent.",https://pubmed.ncbi.nlm.nih.gov/24128782/,https://pubmed.ncbi.nlm.nih.gov/36502873/,87.4,6,Tier 1 - highest,5,5,5,4,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA13,"Persistently elevated serum amyloid A (SAA), when measured for inflammatory disease monitoring",Inflammatory laboratory,Routine/specialized inflammatory lab,Inflammatory burden,Only if ordered independently of amyloid work-up,4,4,Supports AA strongly in context,High,Longitudinal cohort + guideline,Before or after diagnosis depending why it was ordered,FMF/autoinflammatory or other chronic inflammatory disease where SAA is routinely followed,"In 374 established AA patients, median SAA was 7 mg/L when deposits regressed versus 54 mg/L when burden increased; <10 mg/L during follow-up was associated with regression in many patients.",SAA is the direct fibril precursor and a strong measure of ongoing amyloidogenic inflammatory exposure.,SAA elevation does not demonstrate tissue amyloid and can be acutely elevated without AA.,High-risk disease + persistently elevated SAA + new renal protein loss,"IMPORTANT: <10 mg/L is principally a treatment/control target in established disease/FM F guidance, not a validated universal pre-test diagnostic cutoff. Do not trigger AA solely at SAA >10.",Moderate,Laboratory,serum amyloid A; SAA,High-value burden feature if already available; model as continuous/longitudinal rather than a binary >10 threshold.,https://pubmed.ncbi.nlm.nih.gov/17554117/,https://doi.org/10.1136/annrheumdis-2015-208690,83.5,7,Tier 2 - high,5,4,3.5,4.5,1,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA15,New microalbuminuria / low-grade albuminuria,Renal,Routine urine lab,Early organ warning,Yes,4,4,Supports AA in high-risk context,Moderate-High,Renal review + FMF review,"Potentially early, before nephrotic syndrome",High-risk chronic inflammatory/autoinflammatory disease under routine follow-up,FMF renal literature recognizes microalbuminuria as an early renal warning; progression to overt proteinuria is a classic AA pathway.,May identify the renal transition before late nephrotic disease.,"Diabetes, hypertension, obesity, exercise, infection, and many kidney diseases cause low-grade albuminuria.",New/persistent albuminuria + active inflammatory driver + upward trend over time,"UACR 30–300 mg/g is the standard microalbuminuria range, not an AA-specific threshold.",High,Urine laboratory,UACR; urine albumin; microalbumin,Early warning feature; require persistence and inflammatory context.,https://pubmed.ncbi.nlm.nih.gov/34684086/,https://pubmed.ncbi.nlm.nih.gov/36502873/,82.2,8,Tier 2 - high,4.5,5,5,5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA07,"Inflammatory bowel disease, especially aggressive/fistulizing Crohn disease",Gastrointestinal / inflammatory,Diagnosis / medical history / surgery history,Background risk,Yes,4,4,Supports AA,High,Systematic review + prospective/specialist cohort,"Usually after years of active disease, but variable","Crohn disease > ulcerative colitis; especially fistulae, abscesses, stricturing disease, repeated surgery","In a specialist series of 26 IBD-AA patients, 22 had Crohn disease; fistulae/abscesses occurred in 10, and proteinuric renal dysfunction occurred in all cases.",An aggressive suppurative Crohn phenotype creates sustained inflammatory burden and is more informative than an IBD diagnosis alone.,"IBD itself can cause diarrhea, hypoalbuminemia, anemia, and renal abnormalities; those findings are not automatically amyloid manifestations.",Fistulizing/abscess-forming Crohn + persistent inflammation + new proteinuria or renal dysfunction,No validated 'fistula count' or disease-duration threshold. Treat anatomy/behavior as a risk modifier.,High,Problem list; GI notes; procedures/surgery,Crohn disease; fistula; perianal abscess; stricturing; bowel resection,Use Crohn phenotype severity as a background modifier; renal transition remains the key trigger.,https://pubmed.ncbi.nlm.nih.gov/27056947/,https://pubmed.ncbi.nlm.nih.gov/23371008/,81.7,9,Tier 2 - high,5,5,5,4,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA05,"Delayed diagnosis, inadequate control, or poor colchicine adherence in FMF",Autoinflammatory / longitudinal,Medical history + medication adherence + labs,Inflammatory burden / preventable risk,Yes,4,4,Supports AA within FMF,High,Guideline + multicenter cohort + contemporary review,Years before renal manifestations,Known FMF,Delay in FMF diagnosis is associated with amyloidosis in large cohort data. Historical data summarized in contemporary review show proteinuria developing far more often in colchicine-noncompliant than compliant FMF patients.,AA risk depends on cumulative inflammatory exposure; treatment history helps distinguish a well-controlled remote FMF diagnosis from ongoing amyloidogenic exposure.,Medication lists do not prove adherence; 'colchicine resistant' disease can actually reflect non-adherence.,FMF + recurrent attacks/persistent SAA or CRP + delayed/inadequate colchicine treatment + new renal signal,No universal adherence percentage or attack-frequency threshold should be hard-coded from retrospective studies.,Moderate,Medication history; rheumatology notes; pharmacy if available,colchicine; missed doses; nonadherence; resistant; recurrent attacks,Longitudinal risk modifier; use only with evidence of continued inflammatory activity.,https://pubmed.ncbi.nlm.nih.gov/24369413/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,81.2,10,Tier 2 - high,5,5,3.5,4.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA20,Rising creatinine / falling eGFR / kidney failure,Renal,Routine chemistry / diagnosis,Organ red flag,Yes,4,4,Supports AA in context,High,Nationwide cohort + natural-history cohort,"Often later than proteinuria, but may be present at detection",Chronic inflammatory/infectious disease,"In the Japanese nationwide survey, 46.2% had moderate/severe renal dysfunction at diagnosis; renal dysfunction dominated the 374-patient natural-history cohort.",Substantially increases concern once the inflammatory context and proteinuric pattern are established.,"Diabetes, hypertension, nephrotoxins, obstruction, sepsis, and other nephropathies commonly cause eGFR decline.",Progressive proteinuria + falling eGFR + sustained inflammatory burden,No AA-specific eGFR threshold; trend and unexplained/disproportionate decline matter.,High,Chemistry; problem list,creatinine; eGFR; CKD; renal failure,Strong contextual feature; not subtype-specific alone.,https://pubmed.ncbi.nlm.nih.gov/30101921/,https://pubmed.ncbi.nlm.nih.gov/17554117/,80.8,11,Tier 2 - high,5,5,5,3.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA09,"Recurrent skin/soft-tissue infection, chronic wounds, or repeated abscesses",Infectious / dermatologic,Diagnosis / medical history / wound care history,Background risk,Yes,4,4,Supports AA,Moderate-High,Systematic review,Usually recurrent over time,"Patients with chronic/recurrent SSTI, including but not limited to people who inject drugs",Systematic review of injecting-related AA found SSTI in 88.7% of reported AA cases among people who inject drugs.,Captures a chronic suppurative inflammatory pathway that may be missed by rheumatology-centric rules.,Injection-drug-use status itself is not AA evidence; many SSTIs are isolated and self-limited.,Repeated abscess/cellulitis/chronic ulcer + persistent inflammation + new proteinuria,No validated number of infections/ED visits. Use recurrence/chronicity qualitatively or derive candidate thresholds for validation.,High,ED; wound care; dermatology; problem list,abscess; cellulitis; chronic ulcer; wound infection,"Use the infection burden, not the social label, as the feature.",https://pubmed.ncbi.nlm.nih.gov/29697879/,https://pubmed.ncbi.nlm.nih.gov/31766892/,80.3,12,Tier 2 - high,4.5,5,5,4,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA14,Recurrent inflammatory flares or persistently uncontrolled precursor disease,Inflammatory / longitudinal,Notes + diagnoses + medication changes + labs,Inflammatory burden,Yes,4,4,Supports AA,Moderate-High,Guideline + natural-history evidence,Years before organ damage,"RA/SpA, FMF, Crohn disease, chronic infection, autoinflammatory disease",AA progression and outcomes correlate with persistent SAA exposure; modern reviews emphasize suppression of the underlying inflammatory disease as the central preventive strategy.,Cumulative inflammatory exposure is mechanistically closer to AA risk than disease duration alone.,Flare coding can be inconsistent and treatment escalation may reflect physician preference rather than severity.,Repeated flares + persistent CRP/SAA + new renal signal,"No validated universal number of flares, steroid bursts, or biologic changes.",Moderate,Notes; medications; labs,flare; uncontrolled; steroid burst; biologic escalation; resistant disease,Longitudinal modifier; derive candidate burden features for validation rather than a hard rule.,https://pubmed.ncbi.nlm.nih.gov/17554117/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,79.8,13,Tier 2 - high,4.5,5,3.5,4.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA01,"Known chronic inflammatory joint disease (RA, spondyloarthritis, other persistent inflammatory arthritis)",Inflammatory / rheumatologic,Diagnosis / medical history,Background risk,Yes,3,4,Supports AA,High,Guideline + systematic review,Usually years before organ manifestations,"Persistent inflammatory joint disease, especially active or historically severe disease",Inflammatory-joint-disease AA prevalence has fallen markedly in the biologic era; the 2025 systematic review reports older RA prevalence estimates of 16.7–25.2% versus ~0.7% in post-2010 data.,"AA requires a sustained inflammatory precursor state; a rheumatic diagnosis is therefore meaningful context, but modern treatment substantially changes risk.","RA/SpA are common and most patients never develop AA. Renal disease may be diabetic, hypertensive, drug-related, glomerular, or AL.",Inflammatory joint disease + persistent inflammatory activity + new albuminuria/proteinuria,"No universal disease-duration, deformity, or Steinbrocker threshold is validated for current pre-test screening.",High,Problem list; rheumatology notes; medication history,rheumatoid arthritis; ankylosing spondylitis; inflammatory arthritis; biologic escalation,Context feature only; raise weight when ongoing inflammatory burden and a new renal phenotype coexist.,https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/40516176/,76,14,Tier 2 - high,5,5,5,4,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA19,Peripheral edema / anasarca,Renal / systemic,Symptom / physical exam,Renal consequence,Yes,4,3,Supports AA in context,High,Guideline + biopsy cohort,Often around renal presentation,Especially when accompanied by proteinuria/hypoalbuminemia,Pedal edema was part of the presenting phenotype in the PTB renal-AA cohort and is a standard manifestation of nephrotic protein loss.,Visible clinical clue that can appear before formal amyloid investigation.,"Heart failure, liver disease, venous insufficiency, drugs, and malnutrition are common causes.",Edema + proteinuria + hypoalbuminemia + inflammatory driver,No specific edema grade is validated for AA.,High,Physical exam; notes; diagnosis,edema; leg swelling; anasarca,Supporting renal-cluster feature.,https://pubmed.ncbi.nlm.nih.gov/20440393/,https://pubmed.ncbi.nlm.nih.gov/36759076/,75.1,15,Tier 2 - high,5,5,5,3.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA10,Selected inflammatory neoplastic drivers (especially Castleman disease; also RCC and some other tumors),Oncology / inflammatory,Diagnosis / medical history,Background risk,Yes,3,4,Supports AA,Moderate-High,Systematic review + disease review + case series,Concurrent or preceding renal phenotype,Castleman disease; renal cell carcinoma; selected inflammatory malignancies; rare hepatocellular adenoma association,"AA cause review identifies selected neoplasms as strong/recognized associations. In unicentric Castleman case series, resection suppressed inflammation and was followed by regression of AA deposits.",Prevents a screen from equating AA exclusively with rheumatologic or infectious disease.,"Most cancers are not strong AA drivers; cancer can cause proteinuria, CKD, weight loss, and inflammation by many other mechanisms.",Selected inflammatory tumor + persistently elevated inflammatory markers + new renal protein loss,No broad 'any cancer' rule. Use a curated list of literature-supported tumor drivers.,High,Oncology; pathology history; problem list,Castleman disease; renal cell carcinoma; RCC; inflammatory tumor,Moderate background feature; stronger for Castleman than for nonspecific malignancy.,https://pubmed.ncbi.nlm.nih.gov/31766892/,https://pubmed.ncbi.nlm.nih.gov/11937647/,74.6,16,Tier 2 - high,4.5,5,5,4,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA18,Hypoalbuminemia accompanying renal protein loss,Renal / systemic,Routine chemistry,Renal consequence,Yes,4,3,Supports AA in context,Moderate-High,Cohort + guideline,Usually with substantial proteinuria,Proteinuric inflammatory patient,PTB-associated renal AA cohort reported hypoalbuminemia in 76.7%; low albumin is also common in nephrotic AA.,Reinforces a protein-losing renal phenotype and helps separate trivial albuminuria from clinically significant glomerular disease.,"Inflammation, malnutrition, liver disease, protein-losing enteropathy, and IBD can lower albumin without AA.",Proteinuria + falling serum albumin + edema + inflammatory driver,No AA-specific albumin cutoff. Interpret as a trajectory and alongside urine protein.,High,Chemistry,serum albumin; hypoalbuminemia,Supporting renal-cluster feature.,https://pubmed.ncbi.nlm.nih.gov/20440393/,https://pubmed.ncbi.nlm.nih.gov/36759076/,73.6,17,Tier 2 - high,4.5,5,5,3.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA04,Family history of AA amyloidosis or end-stage kidney disease in FMF,Family / autoinflammatory,Family history,Susceptibility modifier,Yes,3,4,Supports AA within FMF,Moderate-High,Large multicenter cohort,Before organ manifestations,Patients with FMF or a convincing periodic-fever phenotype,"Family history of amyloidosis and ESRD was significantly more prevalent among FMF patients with amyloidosis in the 2,246-patient multicenter study.",Captures inherited/background susceptibility not represented by the patient's current flare count alone.,Family history may be incomplete or nonspecific; ESRD can have many causes.,FMF + family history of AA/ESRD + inadequate inflammatory control + new albuminuria,No validated quantitative family-history score.,Moderate,Family history; rheumatology/genetics notes,family history amyloidosis; renal failure; dialysis; FMF,Moderate risk modifier; useful for prioritization but not sufficient alone.,https://pubmed.ncbi.nlm.nih.gov/24369413/,https://pubmed.ncbi.nlm.nih.gov/22037353/,72.2,18,Tier 2 - high,4.5,5,3.5,3.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA03,"Known high-risk MEFV genotype, especially M694V homozygosity, in a patient with FMF",Genetic / autoinflammatory,Existing genetic result,Susceptibility modifier,Only if already known,3,4,Supports AA within FMF,High,Large multicenter cohort + review,Known before renal disease if FMF genotyping already performed,Patients with established FMF and prior MEFV testing,"In the 2,246-patient Turkish cohort, M694V homozygosity was associated with ~6-fold higher odds/risk of amyloidosis versus other genotypes; pooled Turkish data also support the association.",Genotype can refine risk within FMF and may justify closer surveillance when combined with inflammatory activity.,Genotype alone does not prove amyloid deposition; different ethnic cohorts and studies have shown variable effect sizes.,FMF + M694V/M694V + persistent inflammation or poor disease control + emerging proteinuria,"Risk modifier, not a diagnostic threshold. Do not order MEFV testing solely as an AA screen if FMF is not otherwise suspected.",Moderate,Genetics; rheumatology,MEFV; M694V/M694V; exon 10 variant,Optional risk modifier when the result already exists; do not give it the same weight as a renal transition.,https://pubmed.ncbi.nlm.nih.gov/24369413/,https://pubmed.ncbi.nlm.nih.gov/22037353/,71.7,19,Tier 2 - high,5,4,3.5,3.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA12,Persistent/recurrent elevation of CRP or ESR,Inflammatory laboratory,Routine lab,Inflammatory burden,Yes,3,3,Supports AA in context,High,Guideline + risk cohort,Precedes organ manifestations if precursor disease remains active,Known or occult chronic inflammatory condition,AA risk tracks sustained inflammatory activity; CRP is a practical but imperfect surrogate for SAA.,Distinguishes a remote/inactive inflammatory diagnosis from ongoing acute-phase activation.,"CRP/ESR are nonspecific and can reflect transient infection, obesity, malignancy, or other inflammatory states.",High-risk precursor condition + repeated inflammatory-marker elevation + emerging albuminuria/proteinuria,No validated universal rule such as '2 values >3 months apart'. Treat persistence windows as research-engineering parameters to validate.,High,Laboratory,CRP; ESR; hsCRP,"Use longitudinal trends and duration, not a single high value.",https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/25376380/,71.3,20,Tier 2 - high,5,5,5,4.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA22,Intractable or persistent diarrhea not fully explained by active IBD/infection,Gastrointestinal,Symptoms / diagnosis / notes,Additional organ clue,Yes,3,3,Supports AA modestly,Moderate-High,Nationwide cohort + review,Often around established systemic disease,Systemic AA; particularly useful outside an obvious active Crohn flare,Japanese nationwide survey reported intractable diarrhea in 32.2% of patients at diagnosis.,Adds multi-organ evidence and may indicate GI amyloid involvement.,"IBD, infection, medications, autonomic dysfunction, AL, and ATTRv can all cause chronic GI symptoms.",Persistent diarrhea + renal AA phenotype + inflammatory driver,No validated diarrhea duration/frequency threshold for AA screening.,High,GI notes; problem list,chronic diarrhea; intractable diarrhea; watery diarrhea,Secondary supporting feature; do not trigger on diarrhea alone.,https://pubmed.ncbi.nlm.nih.gov/30101921/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,66,21,Tier 3 - moderate,4.5,5,5,2.5,0.95,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA11,Severe obesity in otherwise idiopathic AA-risk context,Metabolic / inflammatory,Diagnosis / BMI,Susceptibility context,Yes,2,2,Weakly supports AA,Moderate-Low,Contemporary review / observational association,Concurrent,Patient with persistent inflammatory phenotype or unexplained proteinuric kidney disease and no obvious classic driver,"Contemporary review notes obesity has been suggested as a cause/susceptibility factor in idiopathic AA, but mechanisms and causality remain uncertain.",May explain a minority of 'idiopathic' AA presentations and prevents an overly rigid requirement for a classic precursor disease.,"Obesity is extremely common and strongly linked to diabetes, hypertension, obesity-related glomerulopathy, and CKD.",Severe obesity + unexplained persistent inflammation + proteinuria after common causes are assessed,No validated BMI threshold for AA screening beyond the usual obesity definition; do not use BMI alone.,High,Vitals; problem list,BMI; obesity; morbid obesity,Very low-weight context modifier only; never a trigger by itself.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,https://pubmed.ncbi.nlm.nih.gov/31766892/,31.5,22,Tier 5 - weak,2.5,5,5,3,0.6,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA23,Melena / GI bleeding / paralytic ileus,Gastrointestinal,Symptoms / diagnosis,Additional organ clue,Context only,2,2,Weakly supports AA,Moderate,Nationwide cohort,Usually around established systemic disease,Systemic AA,"Japanese survey reported these manifestations only in a small minority, making them poor screening features.",They can support multi-organ involvement once AA is already plausible.,Very nonspecific; common GI disorders and medications are more likely.,Only meaningful with strong renal + inflammatory AA phenotype,No useful AA-specific threshold.,High,GI notes; diagnosis,melena; GI bleed; ileus,Very low-weight supporting feature.,https://pubmed.ncbi.nlm.nih.gov/30101921/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11219434/,30.3,23,Tier 5 - weak,3.5,3,5,2.5,0.6,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA24,Hypothyroidism / thyroid enlargement or goiter,Endocrine,Diagnosis / routine thyroid labs / exam,Additional organ clue,Context only,2,2,Weakly supports AA,Moderate,Nationwide cohort + guideline,Usually near established systemic disease,Systemic AA,Japanese nationwide survey reported hypothyroidism in 11.6%; guidelines/reviews note thyroid deposition can occur.,Potential multisystem clue when otherwise unexplained.,Hypothyroidism is common and usually unrelated to amyloid.,Only with strong inflammatory + renal AA phenotype,No AA-specific TSH or thyroid-size threshold.,High,Problem list; TSH; exam,hypothyroidism; goiter; thyroid enlargement,Very low-weight support only.,https://pubmed.ncbi.nlm.nih.gov/30101921/,https://pubmed.ncbi.nlm.nih.gov/36759076/,30.3,23,Tier 5 - weak,3.5,3,5,2.5,0.6,"AA-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AA26,FMF + proteinuria with possible non-amyloid kidney disease (NAKD),Renal / autoinflammatory,Guardrail,Specificity guardrail,Yes,4,2,"AA remains possible, but proteinuria does not prove it",High,Biopsy cohort,At renal evaluation,FMF patients with persistent proteinuria,"In a 25-patient FMF biopsy cohort selected for proteinuria >0.5 g/day, only 15 (60%) had amyloid kidney disease; 10 (40%) had another nephropathy. Amyloid cases had heavier proteinuria (6.45 vs 2.14 g/day).",This is one of the most important safeguards against overcalling AA from the classic FMF + proteinuria pattern.,Non-amyloid glomerulopathies can coexist with FMF; phenotype cannot replace tissue typing when clinically required.,"FMF + proteinuria -> AA suspicion, but maintain 'renal cause unresolved' if atypical features or competing renal diagnoses exist","The >0.5 g/day value is the inclusion/biopsy threshold of this study, not a universal AA detection cutoff.",High,Nephrology; urine labs; serology,proteinuria; glomerulonephritis; IgA nephropathy; FSGS; membranous nephropathy,Hard guardrail against auto-diagnosis; preserve uncertainty until definitive typing.,https://pubmed.ncbi.nlm.nih.gov/24128782/,https://pubmed.ncbi.nlm.nih.gov/34684086/,25.9,25,Guardrail / differential,5,5,5,4,0.35,Clinically important guardrail/counter-evidence; intentionally down-weighted as an AA-positive signal.
