Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRv subtype distinguisher importance (1-5),Direction for ATTRv,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRv direction multiplier,Ranking interpretation,
V02,Progressive length-dependent axonal sensorimotor polyneuropathy,Neurologic,Diagnosis / exam / EMG-NCS history,Core neurologic phenotype,Yes,5,5,Strongly supports ATTRv,High,Expert consensus + cohorts,Often the first recognized manifestation,"Unexplained progressive neuropathy, especially without a clear acquired cause",Consensus recommends considering ATTRv in progressive length-dependent axonal neuropathy with systemic red flags; THAOS found sensory neuropathy a common first manifestation.,This is the core neurologic entry phenotype for ATTRv.,"Diabetes, alcohol, nutritional deficiency, toxic neuropathy, AL, CIDP and idiopathic axonal neuropathy can mimic.",Progressive axonal PN + autonomic/GI/cardiac/family/ocular red flag,No single NCS threshold is diagnostic; progression and phenotype matter.,High,Neurology notes; diagnosis table; EMG/NCS reports,axonal polyneuropathy; sensorimotor neuropathy; length-dependent neuropathy,Core high-weight feature; use with red-flag enrichment rather than alone.,https://pubmed.ncbi.nlm.nih.gov/31907599/,https://pubmed.ncbi.nlm.nih.gov/35730447/,AGREE: retain as the core ATTRv neurologic phenotype.,100,1,Tier 1 - highest,5,5,5,5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V03,Idiopathic axonal polyneuropathy plus ?2 ATTRv systemic red flags,Neurologic / multisystem,Derived longitudinal phenotype,High-priority screening cluster,Yes,5,5,Strongly supports ATTRv,High,Prospective genetic screening + consensus,Before genetic confirmation,Patients otherwise labeled idiopathic neuropathy,Western Sicily screening of 145 idiopathic sensory-motor PN patients with ?2 red flags identified pathogenic TTR variants in 14 (about 10%).,This is one of the closest published analogues to an EHR screening rule.,Yield is referral- and geography-dependent; the 10% figure is not a universal prevalence estimate.,"PN + ?2 of family history, bilateral/recurrent CTS, dysautonomia, GI disease, cardiac disease, ocular signs or renal abnormalities","Use the published ?2-red-flag structure as a research heuristic, not a universal diagnostic cutoff.",High,"Derived from diagnoses, family history, notes, cardiology/GI/ophthalmology data",idiopathic axonal neuropathy; red flags; multisystem,Core review-priority phenotype.,https://pubmed.ncbi.nlm.nih.gov/37725003/,https://pubmed.ncbi.nlm.nih.gov/26663427/,AGREE/UPWEIGHT: this combination is more useful than isolated red flags.,100,1,Tier 1 - highest,5,5,5,5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V04,Painful small-fiber neuropathy / burning feet with early pain-temperature loss,Neurologic,Symptoms / exam / small-fiber testing,Core neurologic phenotype,Yes,5,5,Strongly supports ATTRv,High,Consensus + review,"Often early, before major weakness","Neuropathy-dominant ATTRv, especially early-onset phenotypes",Reviews and consensus emphasize early small-fiber involvement with burning pain and pain/temperature loss.,This phenotype is more ATTRv-oriented than the predominantly cardiac ATTRwt presentation.,Diabetic and idiopathic small-fiber neuropathy are common mimics; AL can also cause painful/autonomic neuropathy.,Painful small-fiber PN + dysautonomia/GI symptoms/family history,Routine NCS can be normal early; do not require large-fiber abnormalities.,High,Neurology notes; symptom NLP; skin/small-fiber testing if done,burning feet; small fiber neuropathy; pain-temperature loss,"Strong positive neurologic feature, especially with multisystem enrichment.",https://pubmed.ncbi.nlm.nih.gov/31907599/,https://pubmed.ncbi.nlm.nih.gov/37869146/,AGREE: retain and make explicit that early small-fiber disease may precede abnormal routine NCS.,100,1,Tier 1 - highest,5,5,5,5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V06,Mixed neurologic + cardiac phenotype,Multisystem,Derived longitudinal phenotype,Composite discriminator / cluster,Yes,5,5,Strongly supports ATTRv,High,Registry + genotype-phenotype review,May evolve over years,Adult with both progressive neuropathy and otherwise unexplained cardiomyopathy/arrhythmia,"ATTRv phenotypes may be neurologic, cardiac or mixed; non-p.Val50Met carriers frequently have cardiac manifestations among first symptoms.",The mixed phenotype is substantially more hereditary-ATTR oriented than an isolated late-life cardiac phenotype.,AL is also multisystem; renal/plasma-cell clues should redirect toward AL.,Progressive PN/dysautonomia + LVH/HFpEF/arrhythmia ± family history,No universal combination score is validated.,High,Derived from neurology + cardiology data,neuropathy + cardiomyopathy; mixed phenotype,Core subtype-discrimination construct.,https://pubmed.ncbi.nlm.nih.gov/38844302/,https://pubmed.ncbi.nlm.nih.gov/35730447/,AGREE: retain as a top-tier cluster.,100,1,Tier 1 - highest,5,5,5,5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V05,Early autonomic dysfunction / dysautonomia,Autonomic neurologic,Symptoms / diagnosis / autonomic history,Early autonomic red flag,Yes,5,5,Strongly supports ATTRv,High,Systematic review + consensus,Can be first manifestation,Neuropathy-dominant ATTRv; often prominent in classic p.Val50Met phenotypes,Systematic review identifies autonomic involvement as a hallmark; THAOS found autonomic neuropathy as a first manifestation in a substantial subset of p.Val50Met converters.,Early multisystem autonomic dysfunction strongly shifts an unexplained neuropathy toward ATTRv.,"AL, diabetes, Parkinsonian disorders and medications can also cause dysautonomia.",Dysautonomia + progressive neuropathy + GI/weight loss/family or cardiac clues,No universal autonomic score threshold for general screening.,High,Neurology; cardiology; GI/urology notes,dysautonomia; autonomic neuropathy; sweating abnormality,Core positive feature; subtype value rises when autonomic involvement is early and multi-domain.,https://pubmed.ncbi.nlm.nih.gov/31473866/,https://pubmed.ncbi.nlm.nih.gov/31907599/,AGREE: retain as a major ATTRv discriminator.,99,5,Tier 1 - highest,5,5,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V14,Prior CIDP diagnosis with poor/absent IVIG or immunotherapy response,Neurologic,Diagnosis + treatment history,Misdiagnosis red flag,Yes,4,5,Strongly supports ATTRv,High,Misdiagnosis cohort + genetic screening,Before correct diagnosis,Progressive neuropathy labeled CIDP,CIDP is a recurrent ATTRv misdiagnosis; treatment non-response is a recognized reason to reconsider the diagnosis.,Treatment-response history can expose a mismatch between the label and disease course.,True refractory CIDP exists; a 2025 red-flag screening study showed red flags alone have limited specificity.,CIDP label + distal axonal/progressive course + autonomic/GI/cardiac/CTS clues,No number-of-IVIG-cycles threshold is validated.,High,Neurology notes; infusion/medication history,CIDP; IVIG; refractory; no response; steroid nonresponse,"High-priority review trigger, not proof of ATTRv.",https://pubmed.ncbi.nlm.nih.gov/28188196/,https://pubmed.ncbi.nlm.nih.gov/40670759/,AGREE: retain with specificity guardrail.,93,6,Tier 1 - highest,5,5,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V15,Vitreous opacities / amyloid vitreopathy / unexplained recurrent dark floaters confirmed by ophthalmology,Ocular,Ophthalmology exam / symptoms,Strong subtype clue,Yes,4,5,Strongly supports ATTRv,High,Systematic review + GeneReviews,Variable; may precede other systemic recognition in ocular-prone variants,Hereditary TTR disease,Ocular systematic review confirms vitreous opacities as a recurrent hereditary ATTR manifestation.,Ocular TTR production makes true vitreous amyloid particularly ATTRv-oriented.,Common benign floaters are not equivalent; ophthalmologist documentation matters.,Vitreous opacities + neuropathy/family history/scalloped pupil,No universal prevalence or symptom-only diagnostic criterion across variants.,Moderate,Ophthalmology notes; procedure history,vitreous opacities; vitreopathy; dark floaters,High subtype discriminator when objectively documented.,https://pubmed.ncbi.nlm.nih.gov/42078187/,https://pubmed.ncbi.nlm.nih.gov/20301373/,AGREE: retain as a strong hereditary discriminator.,91.5,7,Tier 1 - highest,5,5,3.5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V07,First-degree family history of genetically or clinically established ATTR amyloidosis,Genetic / family,Family history,Background risk,Yes,4,5,Strongly supports ATTRv,High,Consensus + GeneReviews,Can precede symptoms by decades,Adults from affected families,"Family history is a major red flag, but absence of a known family history does not preclude ATTRv.",A documented affected first-degree relative materially changes prior probability.,"Small families, nonpenetrance, adoption and misdiagnosis can hide family history.",Family history + any compatible neuropathy/autonomic/cardiac/ocular sign,No family-history requirement; absence must not be used as a negative gate.,Moderate,Family-history field; genetics and neurology notes,family amyloidosis; TTR; familial neuropathy/cardiomyopathy,Strong background feature; never require it.,https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/31907599/,AGREE WITH GUARDRAIL: family history is powerful when present but cannot be required.,90.5,8,Tier 1 - highest,5,5,3.5,4,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V08,Family history of unexplained adult-onset progressive neuropathy,Genetic / family,Family history,Background risk,Yes,4,5,Strongly supports ATTRv,High,Genotyped ML cohort + consensus,Before or at symptom onset,Patients with otherwise unexplained neuropathy,Family history of neuropathy was among the informative variables in a 2026 genetically tested ML cohort.,Useful when relatives were never formally diagnosed with amyloidosis.,Diabetes and other inherited neuropathies can cluster in families.,Family neuropathy + progressive painful/axonal PN + dysautonomia/CTS/cardiac signs,No universal pedigree threshold.,Moderate,Family-history section; neurology notes,family history neuropathy; walking disability; unexplained neuropathy,Strong context feature.,https://pubmed.ncbi.nlm.nih.gov/42584723/,https://pubmed.ncbi.nlm.nih.gov/31907599/,AGREE: retain as a distinct family-history signal.,90.5,8,Tier 1 - highest,5,5,3.5,4,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V01,Known pathogenic/likely pathogenic TTR variant from prior cascade or family testing,Genetic / family,Prior genetic history,Background risk,Only if already known,4,5,Strongly supports ATTRv,High,Consensus + GeneReviews + carrier cohorts,Can precede symptoms by years to decades,Known TTR variant carrier,Carrier cohorts show conversion timing and first manifestations vary by variant; a TTR variant alone does not prove active amyloid disease.,"This is the strongest subtype-specific prior state, but the screening task is to detect conversion to symptomatic ATTRv—not merely carrier status.",Incomplete penetrance; asymptomatic carriers may remain disease-free for years.,"Known carrier + any new compatible neurologic, autonomic, cardiac, renal or ocular change",No universal age or biomarker threshold; monitor relative to variant/family predicted age of onset.,Moderate,Genetics notes; family-history section; problem list,pathogenic TTR variant; TTR carrier; familial amyloidosis,Very strong prior-risk feature; require new objective/clinical evidence before labeling active ATTRv.,https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/35730447/,"ADDED/EMPHASIZED: NotebookLM correctly stresses genetics, but TTR mutation alone is not active disease.",88.5,10,Tier 1 - highest,5,4,3.5,4,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
