Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRwt subtype distinguisher importance (1-5),Direction for ATTRwt,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRwt direction multiplier,Ranking interpretation
WT01,Orthopedic/tenosynovial prodrome followed years later by otherwise unexplained cardiac disease,Multisystem / temporal,Derived longitudinal history,Core composite discriminator,Yes,5,5,Strongly supports ATTRwt,High,Systematic reviews + cohorts + screening study,Musculoskeletal events commonly 5–15 years before cardiac recognition,"Older adult, especially when several orthopedic clues precede HFpEF/LVH/AF/conduction disease","ATTRwt recognition literature repeatedly identifies bilateral CTS, lumbar stenosis and tendon/joint disease years before cardiomyopathy; bilateral CTS screening 5–15 years later found 4.8% occult CA, all ATTRwt",The temporal sequence is more discriminating than any single age-related orthopedic diagnosis and is the strongest EHR-style ATTRwt phenotype.,ATTRv can also have CTS; isolated degenerative disease is common; AL can cause cardiac amyloid but lacks this characteristic orthopedic enrichment.,?2 orthopedic/soft-tissue clues ? years later new HFpEF/LVH/AF/conduction disease,No validated universal count or time-window rule; 5–15 years is evidence-backed for CTS and broadly consistent with the musculoskeletal prodrome.,High,Derived from procedures + diagnoses + cardiology,bilateral CTS/CTR; lumbar stenosis/decompression; biceps rupture; arthroplasty; trigger finger; HFpEF; LVH; AF,Highest-priority composite feature. Model chronology and clustering rather than simple feature count.,https://pubmed.ncbi.nlm.nih.gov/36049804/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,"AGREE STRONGLY: NotebookLM's main improvement is correct—ATTRwt should be modeled as a longitudinal systemic orthopedic?cardiac phenotype, not a static cardiac checklist.",100,1,Tier 1 - highest,5,5,5,5,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT04,Multiple orthopedic red flags across different tissues/procedures,Musculoskeletal,Derived longitudinal phenotype,Composite discriminator / cluster,Yes,4,5,Strongly supports ATTRwt,High,Systematic review + large ATTRwt cohort,Usually years before cardiac diagnosis,Older adult with repeated hand/spine/tendon/joint events,Large 2026 ATTRwt cohort reported prior CTS in 29% and spinal stenosis in 22%; musculoskeletal literature consistently shows enrichment across several tissues.,Reduces false positives caused by common isolated age-related orthopedic disease.,Degenerative disease burden also rises with age; subtype cannot be established from orthopedics alone.,"Any 2+ of bilateral/recurrent CTS, LSS/decompression, biceps rupture, arthroplasty, trigger finger, shoulder disease + later cardiac clue",No validated minimum feature count; 'multiple' is a research-synthesis construct for prioritization.,High,Procedures + diagnosis history,multi-joint/tendon procedure history; repeated orthopedic diagnoses,Core EHR cluster; give more weight to unusual/bilateral/recurrent events and temporal sequence.,https://pubmed.ncbi.nlm.nih.gov/41906617/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,AGREE: clustering solves much of the specificity problem created by individually common degenerative conditions.,94,2,Tier 1 - highest,5,5,5,5,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT02,"Bilateral and/or recurrent carpal tunnel syndrome, especially recurrence after prior carpal tunnel release",Musculoskeletal / tenosynovial,Diagnosis + surgical history,Early extracardiac red flag,Yes,4,5,Strongly supports ATTRwt,High,Prospective screening cohort + ATTRwt cohort,Typically years before cardiac diagnosis,"Older adult; highest yield when bilateral, surgically treated, recurrent, and later accompanied by cardiac red flags","Prospective screening 5–15 years after bilateral CTS surgery: 12/250 (4.8%) had CA, all ATTRwt; 8.8% in men and 21.2% in non-obese men ?70. ATTRwt CTS study reported recurrent median neuropathy after release in 36% of symptomatic patients.",Bilateral/recurrent CTS is much more informative than a generic CTS code and is highly extractable from surgical history.,CTS is common and can occur in ATTRv; unilateral CTS has poor specificity.,Bilateral/recurrent CTR + later HFpEF/LVH/AF/conduction disease or another orthopedic red flag,Do not use the 21.2% subgroup prevalence as a general PPV; it was a selected subgroup in one screening cohort.,High,Problem list; hand surgery; procedure history,bilateral carpal tunnel; right+left CTR; recurrent median neuropathy; repeat carpal tunnel release,Tier-defining extracardiac feature; explicitly distinguish bilateral/recurrent from unilateral CTS.,https://pubmed.ncbi.nlm.nih.gov/36049804/,https://pubmed.ncbi.nlm.nih.gov/37555238/,"AGREE: add recurrence and surgical temporality. CORRECTION: subgroup prevalence is context-specific, not a universal probability.",93,3,Tier 1 - highest,5,5,5,4.5,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT03,Spontaneous or trivial-trauma distal biceps tendon rupture / 'Popeye sign',Musculoskeletal / tendon,Medical/surgical history + physical exam,Early extracardiac red flag,Yes,4,5,Strongly supports ATTRwt,High,Direct ATTRwt vs HF comparison,Median ~5 years before HF diagnosis among patients who recalled onset,Older patient with HFpEF/LVH or other ATTRwt clues,"In 111 biopsy-proven ATTRwt patients, rupture was present in 33.3% vs 2.5% of HF controls; median 5 years before HF diagnosis. A modeled PPV of 66% assumed ATTRwt prevalence of 13% in HFpEF.",Relatively unusual finding with direct comparative evidence and meaningful pre-cardiac lead time.,Traumatic/degenerative tendon rupture can occur without amyloid; published study came from a referral cohort.,Biceps rupture + bilateral CTS or spinal stenosis + unexplained HFpEF/LVH,No universal PPV. The published 66% PPV is prevalence-dependent and should only be treated as a scenario estimate.,High,Orthopedic notes; surgical history; physical exam,distal biceps rupture; atraumatic biceps rupture; Popeye sign,"Strong positive feature, especially in an appropriate cardiac/orthopedic context.",https://pubmed.ncbi.nlm.nih.gov/28898370/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,AGREE WITH QUALIFICATION: the signal is real and strong; NotebookLM overstates the 66% PPV if presented outside the assumed HFpEF prevalence setting.,93,3,Tier 1 - highest,5,5,5,4.5,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT05,"Lumbar spinal stenosis/decompression, especially with thickened ligamentum flavum and another ATTR clue",Musculoskeletal / spine,Diagnosis + surgical history + routine spine MRI,Early extracardiac red flag,Yes,4,4.5,Supports ATTRwt strongly,High,Surgical/pathology cohort + systematic evidence,Often pre-cardiac,Older adult undergoing lumbar decompression,Surgical series show frequent TTR amyloid in ligamentum flavum; one 177-patient cohort found ATTRwt deposits in 16.9% and thicker ligamentum flavum in ATTR-positive specimens.,Provides a biologically plausible pre-cardiac soft-tissue manifestation and is easy to recover from procedure history.,Degenerative LSS is extremely common; localized ligament amyloid does not prove systemic cardiac ATTRwt.,LSS/decompression + bilateral CTS or biceps rupture + later cardiac red flag,Do not treat 33–45% deposition estimates from selected surgical series as prevalence of systemic ATTRwt-CM.,High,Problem list; spine MRI; operative history,lumbar spinal stenosis; laminectomy; decompression; ligamentum flavum hypertrophy,Moderate-high feature; strongest when surgical and clustered.,https://pubmed.ncbi.nlm.nih.gov/34053807/,https://pubmed.ncbi.nlm.nih.gov/41906617/,"AGREE WITH CORRECTION: include LSS and ligamentum-flavum thickening, but separate local surgical amyloid deposition from systemic ATTRwt-CM.",90,5,Tier 1 - highest,5,5,5,4.5,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT11,"Atrial fibrillation/flutter, especially with LV thickening or orthopedic ATTR clues",Cardiac electrical,Diagnosis + ECG,Cardiac red flag / comparative clue,Yes,4,4,Supports ATTRwt,High,Direct AL-vs-ATTRwt EHR study + cohorts,May precede formal diagnosis,Older adult with otherwise unexplained AF plus structural/orthopedic red flags,Matched prediagnosis EHR data found AF/flutter more frequent in ATTRwt than AL (56% vs 37%).,Useful because AF often appears before formal amyloid recognition and is routinely coded.,AF is very common with aging and valvular disease.,AF + CTS/LSS + HFpEF/LVH or conduction disease,No AF burden threshold is validated for ATTRwt suspicion.,High,Problem list; ECG,atrial fibrillation; atrial flutter,Moderate-high feature when paired with other ATTRwt clues.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/36907828/,"AGREE WITH EMPHASIS: electrical history deserves higher placement than in the original table, but AF alone is nonspecific.",81.7,6,Tier 2 - high,5,5,5,4,1,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT09,Unexplained HFpEF / heart failure in an older adult,Cardiac,Diagnosis / clinical history,High-yield cardiac entry phenotype,Yes,5,3.5,Supports ATTRwt/ATTR,High,Systematic review/meta-analysis + cohorts,Usually near cardiac recognition,"Older adult with HFpEF, especially with orthopedic/electrical red flags",Screening meta-analysis found CA prevalence ~12% in HFpEF settings; ATTR accounts for many cases. ATTRwt is a common form in older adults.,Provides the most common clinical doorway into cardiac amyloidosis.,HFpEF is common and AL/ATTRv/non-amyloid disease overlap.,HFpEF + bilateral/recurrent CTS/LSS/biceps rupture + AF/conduction disease/LVH,No age cutoff alone mandates amyloid testing; use enriched phenotype rather than age+HFpEF only.,High,Problem list; cardiology,HFpEF; diastolic HF; heart failure,"High amyloidosis importance, only moderate ATTRwt subtype weight.",https://pubmed.ncbi.nlm.nih.gov/35509173/,https://pubmed.ncbi.nlm.nih.gov/35343098/,"AGREE: keep as a high-yield entry point, but it is not a wild-type discriminator by itself.",81,7,Tier 2 - high,5,5,5,4.5,0.9,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT12,"Conduction disease (AV block, bundle branch block, sinus-node disease) and/or pacemaker implantation",Cardiac electrical,ECG + procedure history,Cardiac red flag,Yes,4.5,4,Supports ATTRwt/ATTR,High,Consensus/review + screening meta-analysis,May precede or coincide with diagnosis,"Older adult with unexplained conduction disease, particularly with LV thickening or orthopedic clues","Conduction-system disease is a recognized ATTR manifestation; historical ATTRwt cohorts report high pacemaker prevalence, while screening studies show lower yields in unselected pacemaker populations.",Device/procedure history can reveal infiltrative disease before classic HF presentation.,Age-related conduction disease is common; ATTRv can also cause conduction disease.,Pacemaker/AV block + CTS/LSS + LVH/HFpEF,Do not use 40–44% pacemaker prevalence as a general-population screening yield; it reflects diagnosed ATTRwt cohorts.,High,ECG; device/procedure table,AV block; RBBB/LBBB; sick sinus syndrome; pacemaker,Moderate-high ATTRwt feature in a multi-domain cluster.,https://pubmed.ncbi.nlm.nih.gov/33825853/,https://pubmed.ncbi.nlm.nih.gov/35509173/,AGREE: add pacemaker/conduction history. CORRECTION: cohort prevalence at diagnosis is not the same as predictive value in pacemaker patients.,80.1,8,Tier 2 - high,5,5,5,4,0.9,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT20,Incidental myocardial uptake on bone-avid scintigraphy performed for a NON-amyloidosis indication,Incidental imaging,Bone scintigraphy performed for oncology/bone/rheumatologic reason,Incidental high-yield clue,Only if ordered independently of amyloid work-up,5,4.5,Strongly supports ATTR cardiac amyloidosis,High,Systematic review/meta-analysis of screening studies,Potentially pre-symptomatic/incidental,Older patient undergoing bone scan for unrelated indication,Meta-analysis of non-cardiac bone-scintigraphy settings estimated ~1% CA prevalence; incidental myocardial tracer retention is a recognized route to identifying ATTR.,This is unusually direct objective evidence discovered before an amyloid-specific work-up.,Once deliberately ordered for amyloidosis it is no longer a pre-test sign. AL exclusion and proper diagnostic interpretation remain mandatory.,Incidental uptake + orthopedic/cardio ATTR phenotype,Only count if scan was genuinely ordered for another reason. Do not treat as phenotype if PYP/DPD was ordered because amyloid was already suspected.,Moderate,Nuclear medicine report,incidental cardiac uptake; myocardial tracer retention on bone scan,Very high actionability; separate incidental finding from amyloid-specific diagnostic testing.,https://pubmed.ncbi.nlm.nih.gov/35509173/,https://pubmed.ncbi.nlm.nih.gov/33825853/,"AGREE: include only as an incidental pre-test finding, consistent with your requirement that imaging not have been ordered specifically for amyloidosis.",75.9,9,Tier 2 - high,5,4,3.5,4.5,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT10,Unexplained LV wall thickening / increased relative wall thickness / non-dilated LV on routine echocardiography,Cardiac imaging,Routine echocardiogram,Cardiac red flag,Yes if obtained for routine care,5,3.5,Supports cardiac amyloidosis; ATTRwt possible,High,Systematic review + ATTRwt echo cohort,"Near cardiac presentation, sometimes incidental",Older HF/HCM/AS patient without sufficient hypertensive explanation,Wall thickening is the most commonly cited ATTRwt suspicion criterion across the systematic literature. A 2026 ATTRwt echo cohort showed sex-related sensitivity gaps for septal thickness.,Objective routine imaging often converts nonspecific HF symptoms into infiltrative-cardiomyopathy suspicion.,"Hypertension, HCM, AS, AL and ATTRv overlap substantially.",LV thickening/RWT + orthopedic prodrome + AF/conduction disease,Do NOT hard-code a universal 11-mm female threshold. Use sex/body-size-aware LVMI or lower suspicion threshold; evidence for exact cutoff remains limited.,High,Echo report,IVST; posterior wall thickness; LVMI; relative wall thickness; small LV cavity,"High cardiac-amyloid trigger, moderate subtype discriminator. Preserve female sensitivity.",https://pubmed.ncbi.nlm.nih.gov/35343098/,https://pubmed.ncbi.nlm.nih.gov/41752875/,"AGREE ON FEMALE UNDERDIAGNOSIS; CORRECT NotebookLM's proposed universal ?11 mm female cutoff. Current evidence supports sex-specific interpretation/LVMI, not a validated 11-mm rule.",69.4,10,Tier 3 - moderate,5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
