FILE: c:\Users\PAMALI\Desktop\RDDT\results\analysis\schema_and_data_impact_analysis.xlsx
SHEETS: ['Executive_Summary', 'Table_CLAIMS', 'Table_ENCOUNTERS', 'Table_CENSUS', 'Table_LABS', 'Table_SURGICAL_HISTORY', 'Missing_Tables']

================================================================================
SHEET: Executive_Summary
================================================================================
R1: ATTR AMYLOIDOSIS PIPELINE: SCHEMA & DATA IMPACT ANALYSIS ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R2: Evaluation of Old Schema (legacy_ehr_v1) vs New Schema (sample_db_v1) and Data Quality Impacts on Algorithm Stages ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: CRITICAL ARCHITECTURAL FINDINGS: | 1. CLAIMS (53.3M rows): 100% of date columns are NULL. While Confirmed Amyloidosis ICD-10 extraction succeeds, the Early Detection Suspicion Pipeline completely halts because evidence qualification discards any row with UNKNOWN_AVAILABILITY_DATE. | 2. ENCOUNTERS (17.4M rows): 99.99999% date population with VISITID linking to CLAIMS.COLUMN1. This provides an immed... ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: 1. TABLE STATUS & IMPACT MATRIX ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: Table Name || Old Schema Name || New Schema Status || Total Row Count || Distinct Patients || Primary Schema & Data Issues || Pipeline Severity || Operational Impact & Feasibility ||  ||  ||  ||  ||  ||  ||  || 
R9: CENSUS || CENSUS || PRESENT (Active) || 2,794,815 || 2,794,815 || FAMILYID removed in new schema; demographics largely blank; age clustered in 51-60 bracket. || MEDIUM || Proceed with demographics caveats; family pedigree cannot be established. ||  ||  ||  ||  ||  ||  ||  || 
R10: CLAIMS || CLAIM || PRESENT (Active) || 53,311,842 || 929,356 || 100% NULL dates (FROM_DATE, TO_DATE); 100% NULL procedure codes; 100% NULL notes; 22 generic COLUMN0-21 names. || FATAL BLOCKER || Confirmed extractor succeeds; Early Detection halts completely due to missing dates. ||  ||  ||  ||  ||  ||  ||  || 
R11: ENCOUNTERS || ENCOUNTER_VISIT || PRESENT (Active) || 17,429,113 || 1,056,034 || Table renamed; 5 new columns added; 99.99999% date population; 38K future dates. || LOW / OPPORTUNITY || Serve as master date bridge to backfill CLAIMS dates via VISITID join. ||  ||  ||  ||  ||  ||  ||  || 
R12: LABS || LAB || PRESENT (Active) || 133,901,152 || 695,413 || ObservationIdentifier contains text names ('Calcium'), NOT LOINC; no system declaration; empty notes. || HIGH || Biomarker elevation signals (Troponin, BNP) fail to match LOINC codes. ||  ||  ||  ||  ||  ||  ||  || 
R13: SURGICAL_HISTORY || SURGICAL_HISTORY || PRESENT (Active) || 10,000 || 8,329 || 7.53% NULL dates; 92.4% generic category text; 100% blank secondary SNOMED; 94% unknown encounters. || MEDIUM || SNOMED codes match, but 753 rows dropped due to null dates. ||  ||  ||  ||  ||  ||  ||  || 
R14: CLINICAL_NOTE || CLINICAL_NOTE || MISSING (Absent) || 0 || 0 || Table completely absent in new database (SOURCE_AVAILABLE = FALSE). || FATAL BLOCKER || Entire NLP pipeline (spaCy / medSpaCy) cannot proceed; all note-derived findings lost. ||  ||  ||  ||  ||  ||  ||  || 
R15: MEDICAL_HISTORY || MEDICAL_HISTORY || MISSING (Absent) || 0 || 0 || Table completely absent in new database (SOURCE_AVAILABLE = FALSE). || FATAL BLOCKER || All historical SNOMED conditions and past diagnoses cannot proceed. ||  ||  ||  ||  ||  ||  ||  || 
R16: FAMILY_HISTORY || FAMILY_HISTORY || MISSING (Absent) || 0 || 0 || Table completely absent in new database (SOURCE_AVAILABLE = FALSE). || FATAL BLOCKER || All family history amyloidosis and neuropathy flags cannot proceed. ||  ||  ||  ||  ||  ||  ||  || 
R17: SOCIAL_HISTORY || SOCIAL_HISTORY || MISSING (Absent) || 0 || 0 || Table absent; explicitly excluded from analysis per user instruction. || N/A || Excluded from scope per user request. ||  ||  ||  ||  ||  ||  ||  || 
R18: MEDICATIONS || MEDICATIONS || PRESENT (Inactive) || 55,652,835 || 649,736 || Table present but disabled; explicitly excluded from analysis per user instruction. || N/A || Excluded from scope per user request. ||  ||  ||  ||  ||  ||  ||  || 
