atom_id,Clinical name,Source specialty,Excel sign IDs
abdominal_pain,abdominal pain,GASTROENTEROLOGY,AL10
abnormal_cutaneous_silent_period,Abnormal cutaneous silent period,NEUROLOGY,V20
abscess,abscess,RHEUM_INFLAMMATORY,AA09
achilles,Achilles tendon thickening or spontaneous rupture,ORTHOPEDICS_MSK,
af,Atrial fibrillation or flutter,CARDIOLOGY,"V25, WT11"
age_at_observation,age at observation,SHARED,WT23
age_excessive_snhl,Bilateral sensorineural hearing loss greater than expected for age,NEUROLOGY,WT21
apical_sparing,Apical sparing (cherry-on-top) on GLS,CARDIOLOGY,WT15
arrhythmia,arrhythmia,CARDIOLOGY,V25
arthroplasty,Hip or knee joint replacement (arthroplasty),ORTHOPEDICS_MSK,WT06
as_valve,Aortic stenosis,CARDIOLOGY,WT14
asymmetric_septal_hypertrophy,asymmetric septal hypertrophy,CARDIOLOGY,WT13
autoantibody_result,autoantibody result,SHARED,
autoimmune_disease,autoimmune disease,SHARED,
autoinflammatory_syndrome,Other chronic autoinflammatory syndrome,RHEUM_INFLAMMATORY,"AA02, AA06"
biatrial_enlargement,Biatrial enlargement,CARDIOLOGY,
biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",ORTHOPEDICS_MSK,WT03
blood_pressure_result,blood pressure result,CARDIOLOGY,"V31, WT18"
bmi_result,bmi result,SHARED,V12
bnp_lvmi_ratio_result,bnp lvmi ratio result,CARDIOLOGY,WT19
bnp_result,bnp result,CARDIOLOGY,AL17
bronchiectasis,bronchiectasis,RHEUM_INFLAMMATORY,AA08
bulbar_neuropathy_symptoms,Unexplained bulbar neuropathy symptoms,NEUROLOGY,
bulbar_symptom,bulbar symptom,NEUROLOGY,
cardiomegaly,cardiomegaly,CARDIOLOGY,AL33
cardiomyopathy,cardiomyopathy,CARDIOLOGY,"AL33, V24"
castleman_disease,castleman disease,RHEUM_INFLAMMATORY,AA10
charcot_arthropathy,charcot arthropathy,NEUROLOGY,V29
choking,choking,GASTROENTEROLOGY,V28
chronic_infection,Chronic or active infection,RHEUM_INFLAMMATORY,AA08
chronic_inflammatory_arthritis,Chronic inflammatory joint disease,RHEUM_INFLAMMATORY,AA01
chronic_wound,chronic wound,RHEUM_INFLAMMATORY,AA09
cidp,Chronic inflammatory demyelinating polyneuropathy,NEUROLOGY,V14
clinical_history_assessment,clinical history assessment,SHARED,
cmr_ecv,Cardiac MRI expanded extracellular volume (ECV),CARDIOLOGY,
cmr_lge,Cardiac MRI diffuse late gadolinium enhancement,CARDIOLOGY,
cmr_native_t1,Cardiac MRI elevated native T1,CARDIOLOGY,
conduction_disease,"AV block, bundle-branch block, or sinus-node disease",CARDIOLOGY,"V25, WT12"
confirmed_attr_e85,Confirmed ATTR / amyloidosis (E85),SHARED,
congo_red,Congo red / amyloid tissue confirmation,ORTHOPEDICS_MSK,
constipation,constipation,GASTROENTEROLOGY,"AL11, V10"
creatinine_result,creatinine result,NEPHROLOGY,"AA20, AA21, AL06"
crp_result,crp result,RHEUM_INFLAMMATORY,AA12
ctr_any,Carpal tunnel release procedure (any technique),ORTHOPEDICS_MSK,
cts_any,Carpal tunnel syndrome (any laterality),ORTHOPEDICS_MSK,
cts_bilateral,Bilateral carpal tunnel syndrome,ORTHOPEDICS_MSK,
cts_left,"Carpal tunnel syndrome, left",ORTHOPEDICS_MSK,
cts_persistent_after_release,cts persistent after release,ORTHOPEDICS_MSK,
cts_recurrent,Recurrent / revision carpal tunnel syndrome,ORTHOPEDICS_MSK,
cts_right,"Carpal tunnel syndrome, right",ORTHOPEDICS_MSK,
declining_prealbumin,Declining serum prealbumin (circulating transthyretin),SHARED,V36
delayed_gastric_emptying,delayed gastric emptying,GASTROENTEROLOGY,V11
diabetes,diabetes,SHARED,
diarrhea,diarrhea,GASTROENTEROLOGY,"AA22, AL11, V10"
difficulty_nulling,Difficulty nulling myocardium on CMR,CARDIOLOGY,
dizziness,dizziness,SHARED,AL29
dry_eye,dry eye,OPHTHALMOLOGY,V35
dupuytren,Dupuytren's contracture,ORTHOPEDICS_MSK,
dysarthria,dysarthria,GASTROENTEROLOGY,V28
dysautonomia,Autonomic dysfunction / dysautonomia,NEUROLOGY_AUTONOMIC,"AL13, V05"
dysphagia,dysphagia,GASTROENTEROLOGY,"AL11, V28"
dyspnea,Dyspnea / shortness of breath,CARDIOLOGY,AL20
early_satiety,early satiety,GASTROENTEROLOGY,"AL10, V11"
ecchymosis,ecchymosis,DERMATOLOGY_ORAL,AL08
egfr_result,egfr result,NEPHROLOGY,"AA20, AA21, AL06"
elevated_uric_acid,Elevated serum uric acid,SHARED,WT30
emg_axonal,Axonal pattern on EMG/NCS,NEUROLOGY,
emg_mixed,Mixed axonal-demyelinating EMG pattern,NEUROLOGY,
erectile_dysfunction,erectile dysfunction,NEUROLOGY_AUTONOMIC,V26
esr_result,esr result,RHEUM_INFLAMMATORY,AA12
falling_egfr,Rising creatinine / falling eGFR,NEPHROLOGY,
family_aa_amyloidosis,family aa amyloidosis,RHEUM_INFLAMMATORY,AA04
family_eskd,family eskd,RHEUM_INFLAMMATORY,AA04
fatigue,fatigue,SHARED,AL19
fhx_adult_onset_neuropathy,Family history of unexplained adult-onset progressive neuropathy,SHARED,V08
fhx_established_attr,First-degree family history of genetically or clinically established ATTR amyloidosis,SHARED,V07
fhx_sudden_death,Family history of sudden death or hereditary amyloid/neuropathy,SHARED,
floaters,floaters,OPHTHALMOLOGY,V15
fmf,Familial Mediterranean fever / periodic fever syndrome,RHEUM_INFLAMMATORY,"AA02, AA05"
gastroparesis,Gastroparesis / delayed gastric emptying,NEUROLOGY_AUTONOMIC,V11
gi_bleeding,gi bleeding,GASTROENTEROLOGY,AA23
gi_dysmotility,Unexplained gastrointestinal dysmotility,NEUROLOGY_AUTONOMIC,V10
glaucoma,glaucoma,OPHTHALMOLOGY,V35
goiter,goiter,SHARED,AA24
granular_myocardium,Granular / speckled myocardial appearance,CARDIOLOGY,
hepatic_alp_elevation,hepatic alp elevation,GASTROENTEROLOGY,AL18
hepatomegaly,hepatomegaly,GASTROENTEROLOGY,AL18
hf_any,Heart failure (any),CARDIOLOGY,"AL14, WT09"
hf_medication_intolerance,hf medication intolerance,CARDIOLOGY,"V31, WT18"
hfpef,Heart failure with preserved ejection fraction,CARDIOLOGY,"AL14, V24, WT09"
hoarseness,hoarseness,GASTROENTEROLOGY,V28
hypertension,hypertension,CARDIOLOGY,
hypertrophic_cardiomyopathy,hypertrophic cardiomyopathy,CARDIOLOGY,WT13
hypoalbuminemia,Hypoalbuminemia,NEPHROLOGY,"AA18, AL05"
hypotension,hypotension,SHARED,AL29
hypothyroidism,hypothyroidism,SHARED,AA24
ibd_inflammatory_driver,Inflammatory bowel disease,RHEUM_INFLAMMATORY,AA07
ienfd,Reduced intraepidermal nerve-fiber density,NEUROLOGY,
immunotherapy_exposure,immunotherapy exposure,NEUROLOGY,V14
inflammatory_control_assessment,inflammatory control assessment,RHEUM_INFLAMMATORY,"AA05, AA14"
inflammatory_flare,inflammatory flare,RHEUM_INFLAMMATORY,AA14
inflammatory_neoplastic_driver,Inflammatory neoplastic driver,RHEUM_INFLAMMATORY,
iris_abnormality,iris abnormality,OPHTHALMOLOGY,V16
kidney_failure,kidney failure,NEPHROLOGY,"AA20, AL06"
length_dependent,Length-dependent axonal sensorimotor polyneuropathy,NEUROLOGY,
lflg_as,Low-flow low-gradient aortic stenosis,CARDIOLOGY,
ligamentum_flavum_thickening,ligamentum flavum thickening,ORTHOPEDICS_MSK,
low_ecg_voltage,ECG low voltage,CARDIOLOGY,AL16
low_svi,Low stroke-volume index / low cardiac output,CARDIOLOGY,
lower_limb_symptom,lower limb symptom,NEUROLOGY,V30
lumbar_decompression,lumbar decompression,ORTHOPEDICS_MSK,"V30, WT05"
lumbar_stenosis,Lumbar spinal stenosis,ORTHOPEDICS_MSK,"V30, WT05"
lv_cavity_geometry,lv cavity geometry,CARDIOLOGY,WT10
lv_mass_index_result,lv mass index result,CARDIOLOGY,
lv_relative_wall_thickness,lv relative wall thickness,CARDIOLOGY,WT10
lv_wall_measurement,lv wall measurement,CARDIOLOGY,WT10
lvef_result,lvef result,CARDIOLOGY,WT17
macroglossia,Macroglossia / acquired tongue enlargement,DERMATOLOGY_ORAL,AL07
malaise,malaise,SHARED,AL19
medication_dose_change,medication dose change,CARDIOLOGY,V31
mefv_high_risk_genotype,High-risk MEFV genotype in the patient,RHEUM_INFLAMMATORY,AA03
mgus,Monoclonal gammopathy of undetermined significance,HEMATOLOGY,AL02
mibg_cardiac_denervation,Cardiac sympathetic denervation on 123I-MIBG,NEUROLOGY_AUTONOMIC,V23
microalbuminuria,Microalbuminuria / low-grade albuminuria,NEPHROLOGY,"AA15, V17"
modified_bmi_result,modified bmi result,SHARED,V12
monoclonal_study_result,monoclonal study result,HEMATOLOGY,AL27
mr_neurography_abnormal,MR neurography abnormalities of peripheral nerve or plexus,NEUROLOGY,V21
myocardial_bone_tracer_uptake,myocardial bone tracer uptake,CARDIOLOGY,WT20
myocardial_contraction_fraction_result,myocardial contraction fraction result,CARDIOLOGY,WT17
nausea,nausea,GASTROENTEROLOGY,"AL10, V11"
nephrotic_range_proteinuria,Nephrotic-range proteinuria,NEPHROLOGY,"AA17, AA21, AL04"
nephrotic_syndrome,Nephrotic syndrome,NEPHROLOGY,"AA17, AA21, AL04"
nerve_ultrasound_enlargement,Nerve ultrasound proximal enlargement,NEUROLOGY,V22
nerve_ultrasound_result,nerve ultrasound result,NEUROLOGY,V22
neuro_suspects_attr,Neurologist suspects amyloid / ATTR neuropathy,NEUROLOGY,
neurogenic_bladder,neurogenic bladder,NEUROLOGY_AUTONOMIC,V27
neuropathic_pain,"Neuropathic pain (burning feet, dysesthesia, allodynia)",NEUROLOGY,V04
nfl_result,nfl result,NEUROLOGY,V18
ntprobnp_elevated,Elevated NT-proBNP,CARDIOLOGY,
ntprobnp_result,ntprobnp result,CARDIOLOGY,AL17
obesity,obesity,SHARED,AA11
orthostatic,Orthostatic hypotension,NEUROLOGY,"AL13, V09"
