Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),AL subtype distinguisher importance (1-5),Direction for AL,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),AL direction multiplier,Ranking interpretation
AL03,New or progressive persistent proteinuria,Renal,Routine urine lab / diagnosis,Core organ trigger,Yes,5,5,Strongly supports AL,High,ASH guideline + direct comparative EHR cohort,Can precede diagnosis; often becomes the renal trigger,"Adult with otherwise unexplained proteinuria, especially with monoclonal/plasma-cell context",Matched EHR: proteinuria 17% AL vs 6% ATTRwt. ASH 2026 recommends paraprotein testing for unexplained proteinuria.,One of the most useful ordinary-care transitions from vague illness to possible AL organ involvement.,AA and non-amyloid kidney disease also cause proteinuria; diabetes/HTN may coexist.,New/progressive proteinuria + MGUS/SMM/MM or another unexplained organ system,"?0.5 g/24 h, predominantly albumin, is a consensus AL renal-involvement criterion—not a validated universal pre-test screening cutoff.",High,Urinalysis; nephrology; chemistry,proteinuria; UACR; UPCR; 24h urine protein,Core trigger; prioritize persistence and trend.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13425172/,https://medinform.jmir.org/2026/1/e85803,100,1,Tier 1 - highest,5,5,5,5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL04,Nephrotic-range proteinuria / nephrotic syndrome,Renal,Routine urine lab / diagnosis,Strong organ trigger,Yes,5,5,Strongly supports AL,High,Comparative EHR + renal review,Usually near diagnosis; often later than low-grade proteinuria,Adult with unexplained heavy proteinuria ± edema/hypoalbuminemia,Matched EHR: nephrotic syndrome 6% AL vs <1% ATTRwt.,Highly discriminating for AL versus ATTR once a protein-losing renal phenotype is present.,AA and primary glomerular disease remain major alternatives.,Nephrotic proteinuria + monoclonal/plasma-cell context,Use standard nephrotic definitions (~3–3.5 g/day depending source); threshold is not AL-specific.,High,Urine labs; nephrology,nephrotic syndrome; UPCR; 24h urine protein,Tier-1 trigger; keep AA differential.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/38541968/,99,2,Tier 1 - highest,5,5,5,4.5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL21,Multisystem accumulation across ?3 organ-system domains,Multisystem,Derived longitudinal phenotype,Core composite discriminator / cluster,Yes,5,5,Strongly supports AL,High,Large longitudinal claims cohort,Accumulates over a multi-year prodrome,Patient repeatedly seen across specialties,"In 1,523 adults, ?3 systems were involved before/at diagnosis in 54%; median first-sign-to-diagnosis interval 2.7 years.",Cross-specialty accumulation is more informative than isolated nonspecific symptoms.,ATTRv is also multisystem; ATTRwt is more cardiac/orthopedic dominant.,Protein-losing renal phenotype + cardiac and/or neurologic/GI/systemic signs,"?3 systems is descriptive, not a hard screening gate.",High,Derived longitudinal EHR,renal + cardiac + neurologic/GI/hepatic domains,Core temporal cluster.,https://pubmed.ncbi.nlm.nih.gov/34137077/,https://medinform.jmir.org/2026/1/e85803,98.5,3,Tier 1 - highest,4.5,5,5,5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL26,Monoclonal/plasma-cell precursor state PLUS new unexplained organ dysfunction,Multisystem / hematology,Derived longitudinal phenotype,Core composite discriminator / cluster,Yes,5,5,Strongly supports AL,High,Guideline-informed synthesis + comparative EHR,Before amyloid-specific testing,"MGUS/SMM/MM patient who develops new renal, cardiac, neurologic, GI, hepatic or soft-tissue abnormality",AL clonal diagnoses and renal/GI/neurologic precursors are enriched before AL diagnosis compared with ATTRwt.,Combination is more informative than MGUS or an organ abnormality alone.,Incidental MGUS is common in ATTR; subtype remains unresolved until appropriate work-up.,"Clone + new proteinuria/nephrotic syndrome, cardiac injury, neuropathy or multisystem change",No validated single composite threshold; literature-backed EHR synthesis feature.,High,Derived across hematology + organ tables,MGUS/SMM/MM + new organ dysfunction,Core composite phenotype.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13425172/,https://medinform.jmir.org/2026/1/e85803,98.5,3,Tier 1 - highest,4.5,5,5,5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL07,Macroglossia / acquired tongue enlargement,Mucocutaneous / oral,Physical exam / note NLP,Subtype-specific clue,Yes,4,5,Strongly supports AL,High,Review/guideline + typed AL cohort,Usually established disease; low sensitivity,Unexplained acquired tongue enlargement,Macroglossia is a classic soft-tissue manifestation much more associated with AL than ATTR.,"When genuine and unexplained, it is a strong subtype clue.",Rare; not exclusive to AL; other causes exist.,"Macroglossia + purpura, proteinuria, clone or cardiac disease",Clinical finding; no numeric threshold. Tongue biopsy is not a screening requirement.,Moderate-High,General exam; ENT/dental; hematology,macroglossia; enlarged tongue,"High discriminator, low sensitivity.",https://pubmed.ncbi.nlm.nih.gov/32340017/,https://pubmed.ncbi.nlm.nih.gov/30770096/,93.5,5,Tier 1 - highest,5,5,4.5,5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL08,Periorbital / pinch purpura or spontaneous unexplained ecchymosis,Mucocutaneous,Physical exam / note NLP,Subtype-specific clue,Yes,4,5,Strongly supports AL,High,Review/scoping evidence,Usually around systemic disease,"Unexplained bruising, especially periorbital",Classic AL-oriented sign but uncommon.,High subtype value because it is not a typical ATTR prodrome.,"Anticoagulation, thrombocytopenia, senile/steroid purpura and trauma mimic.","Purpura + macroglossia, nephrotic phenotype or plasma-cell context",No validated numeric threshold.,Moderate-High,Physical exam; dermatology/hematology,periorbital purpura; pinch purpura; ecchymosis,"High discriminator, low sensitivity.",https://pubmed.ncbi.nlm.nih.gov/32340017/,https://pubmed.ncbi.nlm.nih.gov/41603599/,93.5,5,Tier 1 - highest,5,5,4.5,5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL01,Known plasma-cell dyscrasia / smoldering myeloma / multiple myeloma,Hematology,Diagnosis / medical history,Background risk,Yes,4,5,Strongly supports AL,High,Guideline + comparative EHR + screening study,Can precede organ manifestations by years,Known clonal plasma-cell disorder,Matched EHR: multiple myeloma history 29% AL vs 2% ATTRwt.,A known clone materially raises AL prior probability when new organ dysfunction emerges.,Most plasma-cell disorders do not cause AL; ATTR may coexist with monoclonal gammopathy.,Plasma-cell disorder + new renal/cardiac/neurologic/GI/hepatic abnormality,"Tufts ?-MGUS/SMM dFLC >23 mg/L + IGVL/cytogenetic enrichment is study-specific, not a universal criterion.",High,Problem list; hematology/oncology,multiple myeloma; SMM; plasma cell dyscrasia,Strong background-risk feature; combine with organ signal.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/40565890/,93,7,Tier 1 - highest,5,5,5,4.5,1,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL27,Pre-existing abnormal monoclonal studies from MGUS/myeloma follow-up + new organ signal,Hematology / lab,Prior routine hematology labs,Background risk / escalation clue,"Yes, if pre-existing",4,5,"Supports AL, guardrail required",High,ASH guideline + typed cohort,Can precede amyloid-specific work-up,Patient already monitored for MGUS/SMM/MM,Typed AL cohort: combining serum/urine IFE and sFLC captured monoclonal abnormalities in nearly all AL patients.,A pre-existing clonal lab signal plus new organ dysfunction substantially strengthens AL suspicion.,CKD can distort FLC ratios; ATTR may coexist with monoclonal gammopathy.,Prior monoclonal abnormality + new proteinuria/HF/neuropathy/GI/systemic change,"Once AL is suspected, ASH recommends SIFE+UIFE+sFLC. Use age/eGFR/assay-aware FLC ranges (e.g., 0.48–3.38 at eGFR 30–44; 0.54–3.30 at eGFR <30 in iStopMM).",High,Hematology labs,SIFE; UIFE; sFLC; kappa/lambda ratio,Use as pre-test context only if testing existed independently of amyloid suspicion.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13425172/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9470548/,88.4,8,Tier 1 - highest,5,4.5,5,5,0.95,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL05,Hypoalbuminemia with edema / anasarca,Renal / systemic,Routine chemistry + exam,Renal consequence / supporting cluster,Yes,4,4,Supports AL,Moderate-High,Renal review + cohort,Often near renal presentation,Especially with urinary protein loss,Low albumin and edema frequently accompany nephrotic renal AL.,With proteinuria they define a stronger renal cluster than edema alone.,"HF, cirrhosis, malnutrition, protein-losing enteropathy and AA nephrosis mimic.",Proteinuria + falling albumin + edema,"Albumin <3.5 g/dL is common clinical hypoalbuminemia, not an AL-specific cutoff.",High,Chemistry; exam,serum albumin; edema; anasarca,"Reinforcing renal feature, not standalone.",https://pubmed.ncbi.nlm.nih.gov/38541968/,https://pubmed.ncbi.nlm.nih.gov/30770096/,81.2,9,Tier 2 - high,4.5,5,5,4.5,0.95,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
AL02,Monoclonal gammopathy of undetermined significance (MGUS) under surveillance,Hematology,Diagnosis / medical history,Background risk,Yes,3,4,"Supports AL, guardrail required",High,Comparative EHR + ATTR guardrail cohort,Can precede diagnosis by years,Older adults / hematology surveillance,Matched EHR: monoclonal gammopathy 22% AL vs 9% ATTRwt; separate ATTR cohorts reported MGUS in 39% ATTRwt and 49% V122I ATTR.,MGUS raises AL suspicion only when compatible new organ changes appear.,Incidental MGUS is common in ATTR and with aging.,MGUS + new proteinuria/nephrotic syndrome or multisystem disease,"If SIFE/UIFE/sFLC are ordered because amyloid is suspected, they are second-stage tests; pre-existing surveillance results may be used as prior context.",High,Problem list; hematology notes; prior labs,MGUS; monoclonal gammopathy; paraproteinemia,High-value context with explicit ATTR guardrail.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/29424556/,77,10,Tier 2 - high,5,5,5,4.5,0.95,"AL-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
